trip_id,start_time,end_time,headway_secs,exact_times
054300B000_1,06:00:00,22:00:00,720,0
054300B000_0,06:00:00,22:00:00,720,0
0100Z3H000_1,05:00:00,24:00:00,480,0
0100Z3H000_0,05:00:00,24:00:00,480,0
0100Z3G000_1,05:00:00,24:00:00,480,0
0100Z3G000_0,05:00:00,24:00:00,480,0
0100Z3F000_1,05:00:00,24:00:00,480,0
0100Z3F000_0,05:00:00,24:00:00,480,0
0100Z3E000_1,05:00:00,24:00:00,480,0
0100Z3E000_0,05:00:00,24:00:00,480,0
0100Z3D000_1,05:00:00,24:00:00,480,0
0100Z3D000_0,05:00:00,24:00:00,480,0
0100Z3C000_1,05:00:00,24:00:00,480,0
0100Z3C000_0,05:00:00,24:00:00,480,0
0100Z3B000_1,05:00:00,24:00:00,480,0
0100Z3B000_0,05:00:00,24:00:00,480,0
0100Z3A000_1,05:00:00,24:00:00,480,0
0100Z3A000_0,05:00:00,24:00:00,480,0
010025E000_1,06:00:00,24:00:00,480,0
010025E000_0,06:00:00,24:00:00,480,0
010025D000_1,06:00:00,24:00:00,480,0
010025D000_0,06:00:00,24:00:00,480,0
010025C000_1,06:00:00,24:00:00,480,0
010025C000_0,06:00:00,24:00:00,480,0
010025B000_1,06:00:00,24:00:00,480,0
010025B000_0,06:00:00,24:00:00,480,0
010025A000_1,06:00:00,24:00:00,480,0
010025A000_0,06:00:00,24:00:00,480,0
051SEL9002_1,16:00:00,22:00:00,300,0
051SEL9002_0,16:00:00,22:00:00,300,0
04400L7000_1,05:00:00,24:00:00,300,0
04400L7000_0,05:00:00,24:00:00,300,0
04300L7000_1,05:30:00,23:30:00,300,0
04300L7000_0,05:30:00,23:30:00,300,0
051SEL9001_1,16:00:00,22:00:00,300,0
051SEL9001_0,16:00:00,22:00:00,300,0
051SEL9000_1,22:00:00,24:00:00,300,0
051SEL9000_0,22:00:00,24:00:00,300,0
033SEL9000_1,07:00:00,24:00:00,240,0
033SEL9000_0,07:00:00,24:00:00,240,0
032SEL9000_1,06:00:00,24:00:00,240,0
032SEL9000_0,06:00:00,24:00:00,240,0
031SEL9000_1,05:00:00,24:00:00,240,0
031SEL9000_0,05:00:00,24:00:00,240,0
04500L9000_1,05:30:00,23:30:00,420,0
04500L9000_0,05:30:00,23:30:00,420,0
04100L9000_1,05:00:00,24:00:00,240,0
04100L9000_0,05:00:00,24:00:00,240,0
034SEL1000_1,05:30:00,23:00:00,300,0
034SEL1000_0,05:30:00,23:00:00,300,0
033SEL1000_1,14:00:00,22:30:00,300,0
033SEL1000_0,14:00:00,22:30:00,300,0
053SEL1004_1,07:00:00,24:00:00,300,0
053SEL1004_0,07:00:00,24:00:00,300,0
052SEL1004_1,06:00:00,24:00:00,300,0
052SEL1004_0,06:00:00,24:00:00,300,0
051SEL1004_1,05:00:00,24:00:00,300,0
051SEL1004_0,05:00:00,24:00:00,300,0
053SEL1003_1,07:00:00,24:00:00,300,0
053SEL1003_0,07:00:00,24:00:00,300,0
052SEL1003_1,06:00:00,24:00:00,300,0
052SEL1003_0,06:00:00,24:00:00,300,0
051SEL1003_1,05:00:00,24:00:00,300,0
051SEL1003_0,05:00:00,24:00:00,300,0
053SEL1002_1,07:00:00,24:00:00,300,0
053SEL1002_0,07:00:00,24:00:00,300,0
052SEL1002_1,06:00:00,24:00:00,300,0
052SEL1002_0,06:00:00,24:00:00,300,0
051SEL1002_1,05:00:00,24:00:00,300,0
051SEL1002_0,05:00:00,24:00:00,300,0
053SEL1001_1,07:00:00,24:00:00,300,0
053SEL1001_0,07:00:00,24:00:00,300,0
052SEL1001_1,06:00:00,24:00:00,300,0
052SEL1001_0,06:00:00,24:00:00,300,0
051SEL1001_1,05:00:00,24:00:00,300,0
051SEL1001_0,05:00:00,24:00:00,300,0
053SEL9000_1,07:00:00,24:00:00,300,0
053SEL9000_0,07:00:00,24:00:00,300,0
052SEL9000_1,06:00:00,24:00:00,300,0
052SEL9000_0,06:00:00,24:00:00,300,0
051SEL9000_1,05:00:00,16:00:00,300,0
051SEL9000_0,05:00:00,16:00:00,300,0
03100L7007_1,07:34:00,12:46:00,240,0
03100L7007_0,06:20:00,14:00:00,240,0
03200L7007_1,07:54:00,12:46:00,300,0
03200L7007_0,06:40:00,14:00:00,300,0
03300L3004_1,05:47:00,23:41:00,300,0
03300L3004_0,05:30:00,23:36:00,300,0
03200L3004_1,04:44:00,23:46:00,300,0
03200L3004_0,04:45:00,23:46:00,300,0
03100L3004_1,04:46:00,23:46:00,300,0
03100L3004_0,04:45:00,23:40:00,300,0
03300L3003_1,05:04:00,23:11:00,300,0
03300L3003_0,05:00:00,23:34:00,300,0
03200L3003_1,04:33:00,24:08:00,300,0
03200L3003_0,04:30:00,23:31:00,300,0
03100L3003_1,04:39:00,24:06:00,300,0
03100L3003_0,04:30:00,23:58:00,300,0
03100L3002_1,05:58:00,23:17:00,300,0
03100L3002_0,05:31:00,22:49:00,300,0
03300L3002_1,06:07:00,22:45:00,300,0
03300L3002_0,05:39:00,22:18:00,300,0
03200L3002_1,05:27:00,22:31:00,300,0
03200L3002_0,05:00:00,22:04:00,300,0
03200L3001_1,05:00:00,22:17:00,300,0
03200L3001_0,05:47:00,23:18:00,300,0
03300L3000_1,04:59:00,24:26:00,300,0
03300L3000_0,05:00:00,23:16:00,300,0
03200L3000_1,04:30:00,24:15:00,300,0
03200L3000_0,04:30:00,23:04:00,300,0
03100L3000_1,04:34:00,24:23:00,300,0
03100L3000_0,04:30:00,23:10:00,300,0
03000L2006_1,05:30:00,21:30:00,300,0
03000L2006_0,05:30:00,21:30:00,300,0
04100L5001_1,18:00:00,22:00:00,300,0
04100L5001_0,18:00:00,22:00:00,300,0
04100L5001_1,6:00:00,10:00:00,300,0
04100L5001_0,6:00:00,10:00:00,300,0
050300A000_1,6:00:00,22:30:00,700,0
050300A000_0,6:00:00,22:30:00,700,0
0500107000_1,5:25:00,23:00:00,700,0
0500107000_0,5:25:00,23:00:00,700,0
03200L4006_1,8:03:00,20:05:00,300,0
03200L4006_0,8:02:00,20:00:00,300,0
08300L2001_1,7:00:00,23:00:00,300,0
08300L2001_0,7:00:00,23:00:00,300,0
08300L2000_1,7:00:00,23:00:00,300,0
08300L2000_0,7:00:00,23:00:00,300,0
08200L2001_1,6:00:00,23:00:00,300,0
08200L2001_0,6:00:00,23:00:00,300,0
08200L2000_1,6:00:00,23:00:00,300,0
08200L2000_0,6:00:00,23:00:00,300,0
08100L2001_1,5:00:00,23:00:00,300,0
08100L2001_0,5:00:00,23:00:00,300,0
08100L2000_1,5:00:00,23:00:00,300,0
08100L2000_0,5:00:00,23:00:00,300,0
08300L1001_1,7:00:00,23:00:00,300,0
08300L1001_0,7:00:00,23:00:00,300,0
08300L1000_1,7:00:00,23:00:00,300,0
08300L1000_0,7:00:00,23:00:00,300,0
08200L1001_1,6:00:00,23:00:00,300,0
08200L1001_0,6:00:00,23:00:00,300,0
08200L1000_1,6:00:00,23:00:00,300,0
08200L1000_0,6:00:00,23:00:00,300,0
08100L1001_1,5:00:00,23:00:00,300,0
08100L1001_0,5:00:00,23:00:00,300,0
08100L1000_1,5:00:00,23:00:00,300,0
08100L1000_0,5:00:00,23:00:00,300,0
03300L4002_1,5:03:00,23:32:00,300,0
03300L4002_0,5:01:00,24:02:00,300,0
03200L4002_1,4:31:00,23:00:00,300,0
03200L4002_0,4:36:00,24:02:00,300,0
03100L4002_1,4:31:00,23:00:00,300,0
03100L4002_0,4:36:00,24:02:00,300,0
03300L4001_1,5:02:00,23:32:00,300,0
03300L4001_0,5:00:00,24:01:00,300,0
03200L4001_1,4:31:00,23:14:00,300,0
03200L4001_0,4:30:00,24:01:00,300,0
03100L4001_1,4:34:00,23:14:00,300,0
03100L4001_0,4:30:00,24:01:00,300,0
0530126000_1,7:00:00,23:00:00,500,0
0530126000_0,7:00:00,23:00:00,500,0
